UTC_Seconds_Of_Day, Lat(deg), Long(deg), WGS84_Ellipsoid_Height(m), S-to-N_Slp, W-to-E_Slp, RMS_Fit(cm), Num_ATM_obs_Used, Num_Of_ATM_obs_Removed, Dist_Block_To_Right_aircraft(m), Track_ID
43922.00, 81.911472, 298.789682, 14.5938, -0.0011597, 0.0012613, 16.43, 431, 4, 234, 1
43922.00, 81.912115, 298.771114, 14.5966, 0.0012330, -0.0012621, 24.01, 169, 3, -65, 2
43922.00, 81.912758, 298.752547, 14.8037, 0.0000000, -0.0003386, 19.91, 461, 10, -365, 3
43922.25, 81.911753, 298.790115, 14.5707, -0.0001639, 0.0019798, 15.93, 430, 8, 233, 1
43922.25, 81.912395, 298.771571, 14.5973, 0.0012965, -0.0008695, 18.82, 165, 5, -66, 2
43922.25, 81.913037, 298.753027, 14.8217, 0.0007500, -0.0002549, 21.56, 467, 7, -365, 3
43922.50, 81.912032, 298.790563, 14.5838, 0.0007820, 0.0025779, 18.01, 422, 12, 232, 1
43922.50, 81.912674, 298.772039, 14.5481, -0.0021481, -0.0013905, 13.33, 158, 4, -66, 2
43922.50, 81.913317, 298.753516, 14.8549, 0.0001043, -0.0003383, 22.98, 458, 7, -365, 3
43922.75, 81.912312, 298.791022, 14.7145, 0.0097493, 0.0066016, 32.47, 417, 17, 232, 1
43922.75, 81.912953, 298.772519, 14.4806, -0.0002328, -0.0012085, 8.69, 153, 8, -66, 2
43922.75, 81.913593, 298.754017, 14.8404, -0.0016927, -0.0009259, 24.29, 465, 4, -365, 3
43923.00, 81.912589, 298.791524, 14.7670, -0.0062196, 0.0038758, 34.30, 407, 21, 232, 1
43923.00, 81.913230, 298.773042, 14.5133, 0.0019071, -0.0008212, 10.45, 161, 7, -66, 2
43923.00, 81.913871, 298.754560, 14.8054, -0.0011540, -0.0010026, 24.83, 473, 3, -364, 3
43923.25, 81.912868, 298.792056, 14.7074, -0.0059398, 0.0023211, 30.03, 410, 23, 233, 1
43923.25, 81.913506, 298.773579, 14.5720, 0.0018285, -0.0010799, 13.33, 163, 6, -65, 2
43923.25, 81.914145, 298.755101, 14.8107, 0.0004279, -0.0007879, 27.08, 474, 4, -363, 3
43923.50, 81.913145, 298.792568, 14.6718, -0.0022722, 0.0023141, 24.98, 411, 22, 233, 1
43923.50, 81.913783, 298.774115, 14.6354, 0.0024637, -0.0015985, 15.23, 164, 3, -64, 2
43923.50, 81.914422, 298.755662, 14.8759, 0.0024748, -0.0002737, 31.56, 462, 8, -362, 3
43923.75, 81.913423, 298.793077, 14.6340, -0.0041654, 0.0015078, 23.40, 418, 18, 234, 1
43923.75, 81.914060, 298.774643, 14.6456, 0.0002431, -0.0018849, 13.78, 154, 12, -63, 2
43923.75, 81.914697, 298.756209, 14.9304, -0.0004040, -0.0009802, 32.19, 473, 6, -361, 3
43924.00, 81.913700, 298.793588, 14.5991, -0.0002460, 0.0021023, 19.13, 410, 28, 234, 1
43924.00, 81.914337, 298.775175, 14.6332, 0.0009556, -0.0009527, 13.05, 158, 10, -63, 2
43924.00, 81.914973, 298.756763, 14.8426, -0.0026781, -0.0020048, 27.89, 473, 7, -360, 3
43924.25, 81.913977, 298.794109, 14.6305, 0.0004271, 0.0022149, 19.38, 404, 25, 235, 1
43924.25, 81.914614, 298.775706, 14.6339, 0.0002589, -0.0003208, 11.46, 163, 8, -62, 2
43924.25, 81.915252, 298.757304, 14.7631, 0.0004856, -0.0018000, 24.56, 477, 7, -359, 3
43924.50, 81.914254, 298.794629, 14.6326, -0.0030386, 0.0010705, 17.71, 413, 12, 235, 1
43924.50, 81.914891, 298.776248, 14.6398, 0.0002374, -0.0001302, 10.75, 159, 10, -61, 2
43924.50, 81.915527, 298.757867, 14.7733, 0.0025096, -0.0014756, 20.53, 473, 9, -357, 3
43924.75, 81.914531, 298.795140, 14.5973, -0.0007807, 0.0014989, 16.28, 423, 6, 235, 1
43924.75, 81.915167, 298.776785, 14.6542, 0.0007847, -0.0001198, 11.99, 159, 5, -60, 2
43924.75, 81.915804, 298.758430, 14.8932, 0.0047513, -0.0009320, 22.60, 476, 5, -356, 3
43925.00, 81.914810, 298.795654, 14.6066, 0.0003097, 0.0014656, 18.11, 416, 12, 236, 1
43925.00, 81.915444, 298.777310, 14.6896, 0.0013526, 0.0000000, 13.84, 161, 4, -60, 2
43925.00, 81.916077, 298.758967, 14.8744, -0.0048032, -0.0031548, 21.42, 475, 5, -355, 3
43925.25, 81.915086, 298.796158, 14.6138, -0.0019344, 0.0004694, 18.94, 416, 10, 236, 1
43925.25, 81.915721, 298.777837, 14.7194, 0.0005009, -0.0001337, 13.81, 163, 4, -59, 2
43925.25, 81.916356, 298.759516, 14.7611, -0.0005722, -0.0020471, 18.99, 479, 7, -354, 3
43925.50, 81.915364, 298.796655, 14.6364, 0.0008623, 0.0006764, 20.59, 407, 23, 236, 1
